Time Stamp,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Transformed accelerometer X,Transformed accelerometer Y,Transformed accelerometer Z,Transformed gyroscope X,Transformed gyroscope Y,Transformed gyroscope Z,Gravity X,Gravity Y,Gravity Z, Universal Time Stamp
2.60,0.17949331,0.06198704,0.06871378,-5.11563253,0.62659991,1.83799994,0.10679748,-0.00124520,-0.17139012,-1.29495498,3.94989914,3.55836421,0.75298673,0.65496242,-0.06352600,1689771122730
2.63,0.20896113,0.22898555,-0.05146408,-3.97915745,-0.58421642,1.60516417,-0.07908443,0.00230830,-0.30411842,0.10612845,2.63069645,3.43798310,0.78548479,0.61813670,0.03034569,1689771122730
2.67,0.16348207,0.49405622,-0.21958137,0.24996130,-1.31861651,1.52438414,-0.37154309,0.11346900,-0.41001760,1.96705167,-0.09717366,0.49622795,0.81414872,0.57914025,0.04193836,1689771122730
2.70,0.40741777,0.88828498,-0.25196177,6.58182049,0.54294330,3.25214028,-0.48384735,0.34444799,-0.81594822,4.43337513,-0.76800675,-5.82639815,0.85341609,0.52074206,-0.02255932,1689771122730
2.73,0.02295846,0.83932960,0.30358738,9.95091438,0.64208305,2.61401749,0.00086929,0.82905181,-0.33141952,4.98953013,-1.66638113,-8.86531545,0.89868796,0.41814721,-0.13233820,1689771122730
2.77,-0.16796649,0.08995524,0.52278191,6.53859425,2.10885286,1.73036158,0.42006909,0.28698203,0.22536390,2.84488986,0.87124285,-6.42978723,0.93174541,0.31218997,-0.18544073,1689771122730
2.80,-0.28087801,-0.58169639,0.15264237,-1.32030451,1.25986326,-1.34525692,0.21588272,-0.43038851,0.45686237,-1.86992343,1.09245535,0.67089740,0.94446766,0.28767452,-0.15882234,1689771122730
2.83,0.65356874,-0.02000108,0.04726131,-4.78910112,-1.01644158,0.85350859,0.18393128,-0.17919884,-0.60319387,0.09451163,0.63900600,4.92745968,0.94091374,0.31895104,-0.11380503,1689771122730
2.87,0.07106066,0.71022713,0.05202368,-2.56377721,-1.89846551,0.10336920,-0.12123140,0.64651961,-0.28194681,0.04808013,-1.03314136,3.01962205,0.94169569,0.31198949,-0.12598318,1689771122730
2.90,-0.41228831,0.42614886,-0.18533011,-0.33306563,-0.07782932,-0.13610728,-0.38029840,0.43699705,0.22436233,-0.18451922,-0.02745533,0.31735496,0.93722141,0.31782380,-0.14354277,1689771122730
2.93,-0.28558213,0.21502030,-0.15157999,0.53967196,0.71352261,-0.71569985,-0.26571900,0.22205800,0.17564461,-0.74020473,0.26004984,-0.83489979,0.93434030,0.33104587,-0.13197428,1689771122730
2.97,0.07004380,0.07423371,-0.00124113,0.02502271,0.14225441,-0.31547070,-0.00654257,0.04588926,-0.09093783,-0.32875774,0.01132101,-0.11033766,0.93099385,0.34455886,-0.12053943,1689771122730
3.00,0.04846054,0.09151769,0.05740788,-0.61534506,-0.55268872,-0.33269256,0.03791531,0.08748470,-0.07020279,-0.29221429,-0.42910860,0.72475880,0.92675918,0.35443547,-0.12447041,1689771122730
3.03,-0.08905625,0.13048387,-0.02902424,-0.26171365,-0.20089723,-0.49315035,-0.08805332,0.13088418,0.03025567,-0.45940049,-0.27980307,0.25042451,0.92079771,0.36753237,-0.13058291,1689771122730
3.07,-0.03535491,0.05221969,-0.02627231,-0.03702817,-0.00471982,-0.63645089,-0.04947811,0.04627773,0.00879708,-0.58982506,-0.23729448,-0.04754814,0.91383415,0.38447154,-0.13072555,1689771122730
3.10,0.05310786,0.01468667,0.00843178,-0.14728190,-0.17527322,-0.61156416,0.01749724,-0.00110044,-0.05291383,-0.53826039,-0.34860419,0.12318381,0.90619725,0.40174088,-0.13195187,1689771122730
3.13,0.03267151,0.01382875,-0.00902824,-0.04474583,-0.17585325,-0.64034873,-0.00320006,-0.00293939,-0.03634956,-0.52942654,-0.40241701,0.02722399,0.89756542,0.41956651,-0.13542691,1689771122730
3.17,0.02543598,-0.03605896,-0.02418143,0.20288222,-0.18058486,-0.65788013,-0.00137884,-0.04924515,-0.01024665,-0.46054762,-0.50682636,-0.19391047,0.88844353,0.43689194,-0.14069001,1689771122730
3.20,0.05265599,-0.05364633,-0.04159307,0.31377617,-0.22982720,-0.57144576,-0.00076397,-0.08111762,-0.02828276,-0.32012310,-0.55581080,-0.25772435,0.87922895,0.45214474,-0.15007278,1689771122730
3.23,0.03983516,-0.09469151,-0.03834599,0.31787565,-0.20814720,-0.45609817,0.01338696,-0.10878775,0.00312290,-0.21478702,-0.49204328,-0.25328970,0.87109947,0.46427456,-0.16011000,1689771122730
3.27,0.00447422,-0.15183744,-0.01175149,0.15442251,-0.18275458,-0.38384655,0.04467897,-0.12979057,0.06611294,-0.21197306,-0.38367298,-0.11156248,0.86426991,0.47393513,-0.16859235,1689771122730
3.30,-0.03147048,-0.13951054,-0.00487883,0.13109905,-0.11919216,-0.33282968,0.03328913,-0.10309275,0.09349387,-0.19474459,-0.30243146,-0.11304463,0.85826826,0.48265013,-0.17442742,1689771122730
3.33,-0.02123886,-0.10069627,-0.01944523,0.23064058,-0.01838641,-0.27320206,0.01099815,-0.08217909,0.06398892,-0.13832643,-0.23032380,-0.23662048,0.85314816,0.49005464,-0.17884292,1689771122730
3.37,0.01455486,-0.12870935,-0.01600820,0.24650484,0.00252273,-0.21690544,0.03784115,-0.11514955,0.04840281,-0.08926731,-0.19300020,-0.25020241,0.84971833,0.49479809,-0.18208162,1689771122730
3.40,0.04655427,-0.06590620,-0.00849466,0.20207749,-0.09342212,-0.11653171,0.03463023,-0.07291386,-0.00820987,0.01439277,-0.20372297,-0.14639825,0.84700048,0.49777555,-0.18657388,1689771122730
3.43,0.00531459,-0.06954613,-0.06681488,0.18227182,-0.05572819,-0.06326308,-0.02973927,-0.09023742,0.01737592,0.03929252,-0.14012474,-0.13839083,0.84514940,0.49886727,-0.19197437,1689771122730
3.47,-0.06524163,-0.11938483,-0.12525682,-0.01211805,0.05106191,-0.11337032,-0.08968821,-0.13389900,0.09069489,-0.11863234,-0.01217667,-0.03721682,0.84372985,0.50093067,-0.19284333,1689771122730
3.50,-0.07643908,-0.10514641,-0.09053725,-0.10554934,0.09753057,-0.05094314,-0.06961124,-0.10106953,0.10017444,-0.12023533,0.08876162,0.03021452,0.84297979,0.50333965,-0.18982795,1689771122730
3.53,-0.06739545,-0.02767944,-0.09237295,-0.05678813,0.20031935,-0.05089059,-0.09496125,-0.04417227,0.05359321,-0.13749212,0.15203353,-0.06264430,0.84313715,0.50445545,-0.18613069,1689771122731
3.57,0.02140605,-0.02071810,-0.06825517,-0.26022345,0.14871967,0.02147023,-0.04162354,-0.05841993,-0.02002050,-0.13891229,0.22128325,0.14843131,0.84387422,0.50477248,-0.18188234,1689771122731
3.60,0.04881042,-0.02491057,-0.06352204,-0.53150731,0.01681650,0.09253575,-0.02548233,-0.06926441,-0.03988905,-0.13667626,0.25253630,0.45704562,0.84515637,0.50457048,-0.17640735,1689771122731
3.63,0.03631681,-0.00354809,-0.05036323,-0.54880619,-0.06306932,0.09873082,-0.02725691,-0.04145616,-0.03750203,-0.10610987,0.20090402,0.51311989,0.84641951,0.50470757,-0.16983655,1689771122731
3.67,0.03186172,0.00879204,-0.04440562,-0.52873266,-0.15679950,0.11959361,-0.02865801,-0.02724244,-0.03874141,-0.04361058,0.13205045,0.54690742,0.84753287,0.50463551,-0.16441111,1689771122731
3.70,-0.02182662,-0.01386100,-0.02022791,-0.47299194,-0.17410201,0.03130393,-0.02035528,-0.01298427,0.02224339,-0.08950485,0.05440641,0.49400572,0.84780031,0.50517869,-0.16133663,1689771122731
3.73,-0.01839054,-0.01833749,0.00737602,-0.48352858,-0.17012006,-0.05533656,0.00604499,-0.00368471,0.02605306,-0.16795170,0.01911580,0.48706229,0.84679037,0.50777835,-0.15845351,1689771122731
3.77,0.03133982,0.03118587,0.02103044,-0.37193203,-0.17411381,-0.07683967,0.01810759,0.02317221,-0.03914315,-0.14221384,-0.03499288,0.39128520,0.84483522,0.51164544,-0.15643713,1689771122731
3.80,0.05097514,0.02786756,0.02459930,-0.29105023,-0.14586025,-0.12128015,0.02990368,0.01496942,-0.05349652,-0.15956966,-0.06537918,0.30159146,0.84253401,0.51572675,-0.15544367,1689771122731
3.83,0.04517704,0.01525700,0.05227523,-0.18492262,-0.12718563,-0.08561364,0.05571869,0.02177953,-0.03778254,-0.09575735,-0.07201557,0.20819832,0.84010762,0.51980764,-0.15498237,1689771122731
3.87,0.01701552,0.02445322,0.04208493,-0.06046255,-0.09359332,-0.06872161,0.03268727,0.03421712,-0.02047830,-0.04585184,-0.08449048,0.08886538,0.83837712,0.52233016,-0.15586993,1689771122731
3.90,-0.01352805,0.00534546,0.04677004,-0.04357553,-0.06828260,-0.05671290,0.03179426,0.03370934,0.01586895,-0.03877398,-0.06527766,0.06334902,0.83716708,0.52392083,-0.15703027,1689771122731
3.93,-0.03213322,-0.02621776,0.05145919,-0.00263694,-0.03032145,-0.03403058,0.04027137,0.01929692,0.04872175,-0.01797914,-0.03996581,0.01280269,0.83613420,0.52560729,-0.15689763,1689771122731
3.97,-0.00612366,-0.02964497,0.03132170,0.04127220,0.03032618,0.01475587,0.03505049,-0.00373238,0.02559111,0.01710201,0.01511489,-0.04816501,0.83603406,0.52615064,-0.15560476,1689771122731
4.00,0.00127476,-0.00963819,0.03393567,0.03011387,0.05495580,0.04708855,0.03258302,0.01001414,0.00917676,0.03025520,0.05504451,-0.04689394,0.83704329,0.52541572,-0.15263401,1689771122731
4.03,0.00708383,0.00782931,0.01840186,0.00744696,0.04279368,0.01889686,0.01517992,0.01289936,-0.00729958,0.00235492,0.03960487,-0.02587965,0.83803958,0.52480912,-0.14921570,1689771122731
4.07,0.01033437,0.00817555,0.00404215,-0.01246320,0.05953005,-0.01110259,0.00425217,0.00437090,-0.01236091,-0.03696404,0.04420382,-0.02240776,0.83858848,0.52456975,-0.14695618,1689771122731
4.10,0.01485014,0.00315881,0.01327489,-0.01635296,0.04373448,-0.00928041,0.01563104,0.00364750,-0.01221040,-0.03091796,0.03461964,-0.01057405,0.83890986,0.52499366,-0.14356990,1689771122731
4.13,0.00620061,-0.01495379,0.02302684,-0.05115043,0.01558909,-0.00348601,0.02747439,-0.00162954,0.00589927,-0.02853659,0.02975265,0.03423422,0.83904481,0.52551275,-0.14085540,1689771122731
